category,site,site_type,title,price,shipping,currency,condition,url
gundam,eBay,marketplace,"#128 Master Gundam & Fuunsaiki G Gundam, Bandai Hobby 1/144 HGFC",35.0,0.0,USD,New,https://www.ebay.com/itm/178251688945?_skw=gundam&hash=item2980a0ebf1:g:GAsAAeSwj-dqO~Ru
gundam,eBay,marketplace,Bandai Gundam Stardust Memory HGUC MS-06F Zaku II FZ HG 1/144 Model Kit USA,26.15,0.0,USD,New,https://www.ebay.com/itm/137620839610?_skw=gundam&hash=item200ad75cba:g:rjAAAeSwjhxqh4hM
gundam,eBay,marketplace,"BAN2001365 Bandai MG MS-06J Zaku II Ground Type (Ver. 2.0) ""Gundam""",42.3,,USD,New,https://www.ebay.com/itm/206501617327?_skw=gundam&hash=item3014749eaf:g:hRUAAeSw-9FqhQpc
gundam,eBay,marketplace,"#6 Z'Gok Mobile Suit Gundam, Bandai Hobby HGUC 1/144",12.0,0.0,USD,New,https://www.ebay.com/itm/178251688855?_skw=gundam&hash=item2980a0eb97:g:eFEAAeSwBsFqO~It
gundam,eBay,marketplace,Bandai Gundam UC Gouf Ignited (Heine Westenfluss Custom) HG 1/144 Model Kit,39.18,0.0,USD,New,https://www.ebay.com/itm/147504789111?_skw=gundam&hash=item2257f87677:g:k8YAAeSwJ9tqh43k
gundam,eBay,marketplace,Bandai Gundam Build Fighters Kampfer Amazing HG 1/144 Scale Model Kit,30.32,0.0,USD,New,https://www.ebay.com/itm/147504673954?_skw=gundam&hash=item2257f6b4a2:g:~6MAAeSw~gJqh38j
gundam,eBay,marketplace,"#269 Gouf Ignited (Heine Westenfluss Custom) Mobile Suit Gundam SEED DESTINY, B",34.0,0.0,USD,New,https://www.ebay.com/itm/178251688941?_skw=gundam&hash=item2980a0ebed:g:AqQAAeSwiRFqO~Gn
gundam,eBay,marketplace,"Gundam Barbatos Gundam IBO, Bandai Hobby MG 1/100",61.0,0.0,USD,New,https://www.ebay.com/itm/188555189299?_skw=gundam&hash=item2be6c3dc33:g:Z90AAeSwArRqO~F4
gundam,eBay,marketplace,Gundam Sandrock EW Gundam Wing: Endless Waltz Bandai Hobby MG 1/100,48.0,0.0,USD,New,https://www.ebay.com/itm/128011804474?_skw=gundam&hash=item1dce191f3a:g:FRMAAeSwlDZqcvyh
gundam,eBay,marketplace,Premium Bandai RE/100 Gundam Lindwurm 1/100 Model Kit,75.0,,USD,New,https://www.ebay.com/itm/128036845647?_skw=gundam&hash=item1dcf97384f:g:-W8AAeSw02Jqh2kF
gundam,eBay,marketplace,Bandai Gundam RX-78-2 Ver.2.0 MG 1/100 Scale Model Kit USA Seller,51.0,0.0,USD,New,https://www.ebay.com/itm/147476547529?_skw=gundam&hash=item22564987c9:g:IuUAAeSw5NJqh0df
gundam,eBay,marketplace,Bandai Gundam HGUC LM312V04 Victory Gundam HG 1/144 Scale Model Kit USA Seller,21.95,0.0,USD,New,https://www.ebay.com/itm/137543796896?_skw=gundam&hash=item20063fc8a0:g:z6YAAeSw8fdqgFe4
