category,product_type,site,site_type,ships_from,title,price,shipping,pickup,currency,condition,url,image_url
gundam,model_kit,eBay,marketplace,us,Bandai Hobby Gundam Stardust Memory HGUC F2 Zaku II EFSF HG 1/144 Model Kit USA,26.95,0.0,False,USD,New,https://www.ebay.com/itm/147542598235?_skw=gundam&hash=item225a39625b:g:4PUAAeSwF5BqmfzD,https://i.ebayimg.com/images/g/4PUAAeSwF5BqmfzD/s-l225.jpg
gundam,other,eBay,marketplace,international,UNICORN GUNDAM FIX FIGURATION METAL Composite Store LIMITED EDITION JAPAN Ver.,235.0,32.1,False,USD,New,https://www.ebay.com/itm/820084709809?_skw=gundam&hash=itembef0db99b1:g:Ri4AAeSwTU5p-0n8,https://i.ebayimg.com/images/g/Ri4AAeSwTU5p-0n8/s-l225.jpg
gundam,model_kit,eBay,marketplace,international,PSL Bandai EXCEED MODEL TRINITY RX-78-2 Gundam Complete Set Capsule Toys Gashapo,68.99,16.99,False,USD,New,https://www.ebay.com/itm/327336657352?_skw=gundam&hash=item4c36c901c8:g:4WoAAeSwJm1qlsea,https://i.ebayimg.com/images/g/4WoAAeSwJm1qlsea/s-l225.jpg
gundam,cards,eBay,marketplace,international,Gundam Card Game EX base Amuro & Gundam EXBP-032 Gundam Ace Promo Japanese,19.98,0.0,False,USD,Ungraded,https://www.ebay.com/itm/168648612863?_skw=gundam&hash=item27443d9bff:g:J9EAAeSwskFqkFny,https://i.ebayimg.com/images/g/J9EAAeSwskFqkFny/s-l225.jpg
gundam,model_kit,eBay,marketplace,international,Presale Bandai EXCEED MODEL TRINITY RX-78-2 Gundam Complete Set of 4 New Sep.30,68.5,15.0,False,USD,New,https://www.ebay.com/itm/137692944004?_skw=gundam&hash=item200f239684:g:vGIAAeSwwS5qmPNn,https://i.ebayimg.com/images/g/vGIAAeSwwS5qmPNn/s-l225.jpg
gundam,cards,eBay,marketplace,us,100 MIXED Gundam TCG Cards Bulk Lot- C/U/R holos/LR from GD02/GD03/GD04/GD05,15.0,0.0,False,USD,New,https://www.ebay.com/itm/318805143762?_skw=gundam&hash=item4a3a4470d2:g:tkQAAeSwzf9qlaGe,https://i.ebayimg.com/images/g/tkQAAeSwzf9qlaGe/s-l225.jpg
gundam,model_kit,eBay,marketplace,us,Bandai Gundam Stardust Memory MS-06F-2 Zaku II F2 Zeon HG 1/144 Model Kit USA,34.95,0.0,False,USD,New,https://www.ebay.com/itm/137689626979?_skw=gundam&hash=item200ef0f963:g:~EsAAeSwF-Zqml1n,https://i.ebayimg.com/images/g/~EsAAeSwF-Zqml1n/s-l225.jpg
gundam,model_kit,eBay,marketplace,us,Bandai Hello Kitty & RX-78-2 Gundam SD Ex-Standard,36.99,6.99,False,USD,New,https://www.ebay.com/itm/198512679350?_skw=gundam&hash=item2e384719b6:g:Y~EAAeSwrhNqW~C4,https://i.ebayimg.com/images/g/Y~EAAeSwrhNqW~C4/s-l225.jpg
gundam,cards,eBay,marketplace,international,Domon Kasshu R GD05-097 Promo V Jump Toyotaro  Gundam Card Game Japanese,7.18,0.0,False,USD,Ungraded,https://www.ebay.com/itm/366623364101?_skw=gundam&hash=item555c749405:g:uIwAAeSwS8tqiqax,https://i.ebayimg.com/images/g/uIwAAeSwS8tqiqax/s-l225.jpg
gundam,cards,eBay,marketplace,international,Presale Gundam Card Game ~ EX Base EXBP-033 Char & MSN-02 Zeong Promo Card 9/26,34.99,0.0,False,USD,Ungraded,https://www.ebay.com/itm/407149107183?_skw=gundam&hash=item5ecbfa57ef:g:8s0AAeSwvLhqgd4s,https://i.ebayimg.com/images/g/8s0AAeSwvLhqgd4s/s-l225.jpg
gundam,other,eBay,marketplace,us,"Bandai 1/144 HGUC #102 AMS-129 Geara Zulu ""Gundam UC"" Plastic Model Kit",25.0,2.99,False,USD,New,https://www.ebay.com/itm/127721482447?_skw=gundam&hash=item1dbccb28cf:g:TXQAAeSwnWRpraOk,https://i.ebayimg.com/images/g/TXQAAeSwnWRpraOk/s-l225.jpg
gundam,cards,eBay,marketplace,us,🔥LOT OF 10🔥 Gundam Freedom Ascension Bandai TCG Sleeved Booster Pack ENGLISH,85.0,0.0,False,USD,New/Factory Sealed,https://www.ebay.com/itm/158254760179?_skw=gundam&hash=item24d8b800f3:g:R4oAAeSwNhhqlozW,https://i.ebayimg.com/images/g/R4oAAeSwNhhqlozW/s-l225.jpg
